```
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      sample.rng|  4.06e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
          sts_serial|   9|    100000|     500|0.12246135|  PASSED  
          sts_serial|   9|    100000|     500|0.98834703|  PASSED  
          sts_serial|  10|    100000|     500|0.42725328|  PASSED  
          sts_serial|  10|    100000|     500|0.95892567|  PASSED  
          sts_serial|  11|    100000|     500|0.44622216|  PASSED  
          sts_serial|  11|    100000|     500|0.02972565|  PASSED  
          sts_serial|  12|    100000|     500|0.16180432|  PASSED  
          sts_serial|  12|    100000|     500|0.46126527|  PASSED  
          sts_serial|  13|    100000|     500|0.13343974|  PASSED  
          sts_serial|  13|    100000|     500|0.83961731|  PASSED  
          sts_serial|  14|    100000|     500|0.00842537|  PASSED  
          sts_serial|  14|    100000|     500|0.23285916|  PASSED  
          sts_serial|  15|    100000|     500|0.00014044|   WEAK   
          sts_serial|  15|    100000|     500|0.01534289|  PASSED  
          sts_serial|  16|    100000|     500|0.04973777|  PASSED  
          sts_serial|  16|    100000|     500|0.07333480|  PASSED  
         rgb_bitdist|   1|    100000|     200|0.80636216|  PASSED  
         rgb_bitdist|   2|    100000|     200|0.71046467|  PASSED  
         rgb_bitdist|   3|    100000|     200|0.61175811|  PASSED  
         rgb_bitdist|   4|    100000|     200|0.07735178|  PASSED  
         rgb_bitdist|   5|    100000|     200|0.84131343|  PASSED  
         rgb_bitdist|   6|    100000|     200|0.53923661|  PASSED  
         rgb_bitdist|   7|    100000|     200|0.01927381|  PASSED  
         rgb_bitdist|   8|    100000|     200|0.50528976|  PASSED  
         rgb_bitdist|   9|    100000|     200|0.74602627|  PASSED  
         rgb_bitdist|  10|    100000|     200|0.79105806|  PASSED  
         rgb_bitdist|  11|    100000|     200|0.13497905|  PASSED  
         rgb_bitdist|  12|    100000|     200|0.33364570|  PASSED  
rgb_minimum_distance|   2|     10000|    2000|0.00000000|  FAILED  
rgb_minimum_distance|   3|     10000|    2000|0.03362229|  PASSED  
rgb_minimum_distance|   4|     10000|    2000|0.15175718|  PASSED  
rgb_minimum_distance|   5|     10000|    2000|0.30481790|  PASSED  
    rgb_permutations|   2|    100000|     200|0.12390664|  PASSED  
    rgb_permutations|   3|    100000|     200|0.01458513|  PASSED  
    rgb_permutations|   4|    100000|     200|0.98570517|  PASSED  
    rgb_permutations|   5|    100000|     200|0.33303680|  PASSED  
      rgb_lagged_sum|   0|   1000000|     200|0.73281528|  PASSED  
      rgb_lagged_sum|   1|   1000000|     200|0.25774189|  PASSED  
      rgb_lagged_sum|   2|   1000000|     200|0.83327164|  PASSED  
      rgb_lagged_sum|   3|   1000000|     200|0.53926549|  PASSED  
      rgb_lagged_sum|   4|   1000000|     200|0.58767057|  PASSED  
      rgb_lagged_sum|   5|   1000000|     200|0.01829382|  PASSED  
      rgb_lagged_sum|   6|   1000000|     200|0.63393650|  PASSED  
      rgb_lagged_sum|   7|   1000000|     200|0.00806484|  PASSED  
      rgb_lagged_sum|   8|   1000000|     200|0.86302891|  PASSED  
      rgb_lagged_sum|   9|   1000000|     200|0.30028614|  PASSED  
      rgb_lagged_sum|  10|   1000000|     200|0.60869221|  PASSED  
      rgb_lagged_sum|  11|   1000000|     200|0.65804866|  PASSED  
      rgb_lagged_sum|  12|   1000000|     200|0.94811846|  PASSED  
      rgb_lagged_sum|  13|   1000000|     200|0.57293960|  PASSED  
      rgb_lagged_sum|  14|   1000000|     200|0.39099046|  PASSED  
      rgb_lagged_sum|  15|   1000000|     200|0.00000104|   WEAK   
      rgb_lagged_sum|  15|   1000000|     300|0.00000000|  FAILED  
      rgb_lagged_sum|  16|   1000000|     200|0.49898787|  PASSED  
      rgb_lagged_sum|  17|   1000000|     200|0.07842286|  PASSED  
      rgb_lagged_sum|  18|   1000000|     200|0.91740871|  PASSED  
      rgb_lagged_sum|  19|   1000000|     200|0.31249617|  PASSED  
      rgb_lagged_sum|  20|   1000000|     200|0.41788641|  PASSED  
      rgb_lagged_sum|  21|   1000000|     200|0.01312284|  PASSED  
      rgb_lagged_sum|  22|   1000000|     200|0.65152854|  PASSED  
      rgb_lagged_sum|  23|   1000000|     200|0.00046101|   WEAK   
      rgb_lagged_sum|  23|   1000000|     300|0.00000849|   WEAK   
      rgb_lagged_sum|  23|   1000000|     400|0.00000002|  FAILED  
      rgb_lagged_sum|  24|   1000000|     200|0.97638863|  PASSED  
      rgb_lagged_sum|  25|   1000000|     200|0.32796697|  PASSED  
      rgb_lagged_sum|  26|   1000000|     200|0.44208119|  PASSED  
      rgb_lagged_sum|  27|   1000000|     200|0.00719922|  PASSED  
      rgb_lagged_sum|  28|   1000000|     200|0.68854731|  PASSED  
      rgb_lagged_sum|  29|   1000000|     200|0.33865156|  PASSED  
      rgb_lagged_sum|  30|   1000000|     200|0.92229647|  PASSED  
      rgb_lagged_sum|  31|   1000000|     200|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     200|0.05824445|  PASSED  
     rgb_kstest_test|   0|     10000|    2000|0.19107541|  PASSED  
     dab_bytedistrib|   0|  51200000|       2|0.22222222|  PASSED  
             dab_dct| 256|     50000|       2|1.00000000|  FAILED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       2|0.90821789|  PASSED  
        dab_filltree|  32|  15000000|       2|0.99307323|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       2|0.86315285|  PASSED  
       dab_filltree2|   1|   5000000|       2|0.94763454|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       2|0.22268295|  PASSED  
```
